rank,which_face,x,y,w,h,score,scale,angle
1,top_face_0deg,354,222,160,201,0.9777765274047852,0.49874999999999997,0
2,bottom_face_180deg,26,5,160,201,0.668380081653595,0.49874999999999997,180
